tndr_first_tender_fg,tndr_carrier_type_cd,award_target_share_percent,tndr_target_share_percent,distribution_channel_desc,shp_type_indicator_fg,transport_group_cd,award_carrier_cd,carrier_type_cd,carrier_type_desc,shipping_condition_cd,preceding_document_category_cd,transport_lane,source_zip_cd,destination_zip_cd,transport_region,temp_condition_cd,temp_channel_cd,fiscal_month_desc
N,P,75,75,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,I,SP-RB To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-A9,US-MI-49677,US-PA-18106,TEMP WEST,R,R,Jun
Y,P,100,100,Food Service,O,NTC,NEPH,P,Primary,40,C,SP-FE To 0060066245,US-IN-46809,US-OH-43554,DRY NORTHEAST,D,D,Jun
Y,P,90,90,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,V,SP-BT To SP-RB,US-IL-60510,US-MI-49512,DRY MIDWEST,D,D,Jun
Y,P,100,100,Food Service,O,NTC,UAFL,P,Primary,41,C,SP-FE To 0060058401,US-IN-46809,US-IA-51012,DRY NORTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-KA,US-MI-49677,US-MI-49048,TEMP WEST,R,R,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-JL To SP-DH,US-MO-64804,US-CA-90746,TEMP WEST,R,R,Jun
Y,P,65,65,Intercomp/Interplnt,O,NTC,EZXA,P,Primary,60,I,SP-BV To SP-RO,US-IL-61008,US-TX-76262,DRY MIDWEST,D,D,Jun
Y,P,100,100,NULL,I,NTC,TJIS,P,Primary,40,V,V-00509777 To SP-MS,US-KY-41048,US-TN-37127,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,HJIK,P,Primary,40,V,SP-HN To SP-7252,US-MO-63401,US-IL-60085,TEMP WEST,PH,R,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,V,SP-LK To SP-SG,US-PA-18045,US-GA-30025,DRY NORTHEAST,D,D,Jun
Y,P,100,100,NULL,I,NTC,UAFL,P,Primary,41,V,V-00502563 To SP-HN,US-CA-95380,US-MO-63401,DRY SOUTHEAST,D,D,Jun
Y,P,60,60,Intercomp/Interplnt,O,NTC,HJIK,P,Primary,40,V,SP-CA To SP-MG,US-IL-60446,US-WI-53221,DRY MIDWEST,D,D,Jun
N,P,60,60,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,V,SP-H7 To SP-P8,US-MO-63401,US-PA-17078,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Food Service,O,TC,TJIS,P,Primary,40,C,SP-RJ To 0060028149,US-TN-37127,US-OH-43160,TEMP EAST,R,R,Jun
Y,N,35,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-H7 To SP-4S,US-MO-63401,US-KS-66021,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Internal,O,NTC,UAFL,P,Primary,41,I,SP-SG To 0014294400,US-GA-30025,US-SC-29658,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,BPNK,P,Primary,60,V,SP-BV To SP-SG,US-IL-61008,US-GA-30025,DRY MIDWEST,D,D,Jun
Y,P,100,100,Retail,O,NTC,BUXU,P,Primary,40,C,SP-DC To 0060071774,US-CA-92571,US-NV-89115,DRY WEST,D,D,Jun
Y,P,100,100,Retail,O,NTC,UVJX,P,Primary,40,C,SP-P9 To 0060043131,US-PA-17078,US-NY-13441,DRY NORTHEAST,D,D,Jun
N,P,34,34,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,V,SP-CE To SP-7202,US-GA-30014,US-MN-55418,DRY SOUTHEAST,D,D,Jun
Y,P,75,75,Retail,O,TC,OBEX,P,Primary,40,C,SP-K8 To 0013965900,US-TN-37127,US-TX-76504,TEMP EAST,R,R,Jun
Y,P,0,0,Intercomp/Interplnt,O,TC,NEPH,P,Primary,40,V,SP-WL To SP-FE,US-IL-60481,US-IN-46809,TEMP WEST,PH,R,Jun
Y,P,100,100,Retail,O,TC,KIPZ,P,Primary,40,C,SP-LR To 0060025781,CA-ON-L5N 3,CA-ON-N3E 1,CANADA,R,R,Jun
Y,P,31,31,Intercomp/Interplnt,O,NTC,NBNP,P,Primary,40,V,SP-AL To SP-SG,US-NM-87113,US-GA-30025,DRY WEST,D,D,Jun
Y,P,66,66,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,V,SP-7014 To SP-GB,US-MN-55021,US-IL-61401,DRY MIDWEST,D,D,Jun
Y,P,100,100,Retail,O,TC,TJIS,P,Primary,40,C,SP-WS To 0060016931,US-OH-45692,US-OK-73075,TEMP EAST,F,F,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-K8 To SP-KA,US-TN-37127,US-MI-49048,TEMP EAST,R,R,Jun
N,P,15,15,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,I,SP-BV To SP-S3,US-IL-61008,US-NY-14218,DRY MIDWEST,D,D,Jun
Y,P,100,100,Retail,O,TC,ODSX,P,Primary,41,C,SP-8R To 0060068121,CA-QC-J4B 1,CA-ON-L3R 0,CANADA,R,R,Jun
Y,P,100,100,NULL,I,NTC,FLSZ,P,Primary,40,V,V-00513950 To SP-HY,US-AL-35470,US-OH-45858,DRY NORTHEAST,D,D,Jun
Y,P,49,49,Intercomp/Interplnt,O,NTC,NBNP,P,Primary,40,V,SP-AL To SP-RO,US-NM-87113,US-TX-76262,DRY WEST,D,D,Jun
Y,P,100,100,Retail,O,TC,ODSX,P,Primary,41,C,SP-8R To 0060060320,CA-QC-J4B 1,CA-ON-M5R 3,CANADA,R,R,Jun
Y,P,50,50,NULL,I,NTC,GMDR,P,Primary,40,V,V-00509429 To SP-H7,US-MI-49007,US-MO-63401,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,NULL,I,NTC,UAFL,P,Primary,41,V,V-00510670 To SP-CF,US-IL-60188,US-IL-61006,DRY MIDWEST,D,D,Jun
Y,P,100,100,Food Service,O,TC,TJIS,P,Primary,40,C,SP-JL To 0060067229,US-MO-64804,US-MN-56001,TEMP WEST,F,F,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,DNNR,P,Primary,40,V,SP-7252 To SP-WL,US-IL-60085,US-IL-60481,DRY MIDWEST,D,D,Jun
Y,P,85,85,Intercomp/Interplnt,O,NTC,HJIK,P,Primary,40,V,SP-PV To SP-GB,US-IL-60134,US-IL-61401,DRY MIDWEST,D,D,Jun
Y,P,35,35,Intercomp/Interplnt,O,NTC,HPWY,P,Primary,40,V,SP-WW To SP-WL,US-IA-52404,US-IL-60481,DRY MIDWEST,D,D,Jun
Y,P,0,0,Intercomp/Interplnt,O,TC,DNNR,P,Primary,40,V,SP-WL To SP-GB,US-IL-60481,US-IL-61401,TEMP WEST,PH,R,Jun
N,P,75,75,Intercomp/Interplnt,O,TC,TFTZ,P,Primary,60,V,SP-WL To SP-DC,US-IL-60481,US-CA-92571,TEMP WEST,PH,R,Jun
