shipment number,tndr_first_tender_fg,tndr_carrier_type_cd,award_target_share_percent,tndr_target_share_percent,distribution_channel_desc,shp_type_indicator_fg,transport_group_cd,award_carrier_cd,carrier_type_cd,carrier_type_desc,shipping_condition_cd,preceding_document_category_cd,transport_lane,source_zip_cd,destination_zip_cd,transport_region,temp_condition_cd,temp_channel_cd,fiscal_month_desc,data_flag,hit_or_miss
71973220,Y,N,0,0,Retail,O,TC,RLOS,N,Non-Primary,40,C,0060018208 To SP-DH,US-WA-98390,US-CA-90746,TEMP WEST,R,R,May,train,0
71973485,N,B,0,100,Retail,O,TC,BHHL,B,Broadcast,40,C,SP-JT To 0060069323,US-AR-72301,US-TX-75212,TEMP WEST,F,F,May,train,0
71973557,N,B,0,0,NULL,I,TC,BHHL,B,Broadcast,40,V,V-00503525 To SP-CF,US-IN-46733,US-IL-61006,TEMP WEST,PH,R,May,train,0
71973577,N,B,0,100,NULL,I,TC,BHHL,B,Broadcast,40,V,V-00515191 To SP-MS,US-NY-14606,US-TN-37127,TEMP EAST,R,R,May,train,0
71973687,N,B,0,0,Firesale/Misc.,O,NTC,LLZY,B,Broadcast,40,C,SP-SG To 0060056284,US-GA-30025,US-NY-13209,DRY SOUTHEAST,D,D,May,train,0
71973706,N,B,0,100,Food Service,O,NTC,BUXU,B,Broadcast,40,C,SP-AB To 0060048929,US-GA-30102,US-FL-32808,DRY SOUTHEAST,D,D,May,train,0
71973745,N,B,0,0,Retail,O,NTC,LRQU,B,Broadcast,40,C,SP-SG To 0060013851,US-GA-30025,US-VA-24592,DRY SOUTHEAST,D,D,May,train,0
71973761,N,B,0,0,Food Service,O,NTC,ZPEC,B,Broadcast,40,C,SP-Y4 To 0060034896,US-OH-44830,US-NJ-07047,DRY NORTHEAST,D,D,May,train,0
71973829,N,B,0,100,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-DH To 0060019831,US-CA-90746,US-WA-98203,TEMP WEST,R,R,May,train,0
71973841,N,B,0,100,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-DH To 0060050689,US-CA-90746,US-WA-98424,TEMP WEST,R,R,May,train,0
71973887,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-DC,US-ND-58203,US-CA-92571,DRY WEST,D,D,May,train,0
71973888,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,I,SP-YN To SP-FE,US-ND-58203,US-IN-46809,DRY WEST,D,D,May,train,0
71973891,Y,N,0,0,NULL,I,NTC,LROI,N,Non-Primary,60,V,V-00514975 To SP-CI,US-CA-95605,US-OH-45241,DRY NORTHEAST,D,D,May,train,0
71973990,N,B,0,100,Retail,O,NTC,BUXU,B,Broadcast,40,C,SP-WL To 0060037120,US-IL-60481,US-TN-38118,DRY MIDWEST,D,D,May,train,0
71973994,N,B,0,0,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00514391 To SP-R7,US-IL-60018,US-IA-52404,DRY MIDWEST,D,D,May,train,0
71974027,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-DC,US-ND-58203,US-CA-92571,DRY WEST,D,D,May,train,0
71974028,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-FE,US-ND-58203,US-IN-46809,DRY WEST,D,D,May,train,0
71974029,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,I,SP-YN To SP-P9,US-ND-58203,US-PA-17078,DRY WEST,D,D,May,train,0
71974036,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-UQ,US-ND-58203,US-CA-95215,DRY WEST,D,D,May,train,0
71974037,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-SG,US-ND-58203,US-GA-30025,DRY WEST,D,D,May,train,0
71974075,N,B,0,0,Retail,O,NTC,BUXU,B,Broadcast,40,I,SP-WL To 0048002363,US-IL-60481,US-MN-55343,DRY MIDWEST,D,D,May,train,0
71974124,N,B,0,0,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00514391 To SP-RS,US-IL-60018,US-MI-49512,DRY NORTHEAST,D,D,May,train,0
71974155,N,N,0,0,NULL,I,NTC,YFVO,N,Non-Primary,40,V,V-00514310 To SP-CR,US-IA-50208,US-IA-52404,DRY MIDWEST,D,D,May,train,0
71974163,N,B,0,100,Food Service,O,NTC,BUXU,B,Broadcast,40,C,SP-MJ To 0022753600,US-MO-64120,US-TX-78218,DRY WEST,D,D,May,train,0
71974165,N,B,0,100,Food Service,O,NTC,URXX,B,Broadcast,40,C,SP-V4 To 0025602100,US-TX-76010,US-TX-75056,DRY SOUTHEAST,D,D,May,train,0
71974218,N,B,0,0,Intercomp/Interplnt,O,NTC,YFVO,B,Broadcast,40,V,SP-WW To SP-MJ,US-IA-52404,US-MO-64120,DRY MIDWEST,D,D,May,train,0
71974222,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-GB,US-ND-58203,US-IL-61401,DRY WEST,D,D,May,train,0
71974223,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,I,SP-YN To SP-GB,US-ND-58203,US-IL-61401,DRY WEST,D,D,May,train,0
71974224,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,I,SP-YN To SP-P9,US-ND-58203,US-PA-17078,DRY WEST,D,D,May,train,0
71974227,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-RO,US-ND-58203,US-TX-76262,DRY WEST,D,D,May,train,0
71974228,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-RO,US-ND-58203,US-TX-76262,DRY WEST,D,D,May,train,0
71974229,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-UQ,US-ND-58203,US-CA-95215,DRY WEST,D,D,May,train,0
71974231,N,B,0,33,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-WW To SP-RO,US-IA-52404,US-TX-76262,DRY MIDWEST,D,D,May,train,0
71974232,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,I,SP-YN To SP-WL,US-ND-58203,US-IL-60481,DRY WEST,D,D,May,train,0
71974286,Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,I,SP-YN To SP-SG,US-ND-58203,US-GA-30025,DRY WEST,D,D,May,train,0
71974320,N,B,0,0,Retail,O,TC,KIPZ,B,Broadcast,40,C,SP-LR To 0060071086,CA-ON-L5N 3,CA-ON-K6H 7,CANADA,F,F,May,train,0
71974397,Y,N,0,0,NULL,I,NTC,MMQA,N,Non-Primary,40,V,V-00510040 To SP-TQ,US-MN-55121,CA-ON-M1L 3,CANADA,D,D,May,train,0
71974534,N,B,0,0,Retail,O,NTC,BUXU,B,Broadcast,40,C,SP-H7 To 0048002363,US-MO-63401,US-MN-55343,DRY SOUTHEAST,D,D,May,train,0
71974613,Y,N,0,0,NULL,I,NTC,DNNR,N,Non-Primary,40,V,V-00157261 To SP-BV,US-IL-60609,US-IL-61008,DRY MIDWEST,D,D,May,train,0
71974743,N,B,0,50,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-WW To 0060024831,US-IA-52404,US-IL-60450,DRY MIDWEST,D,D,May,train,0
71974772,N,B,0,0,Firesale/Misc.,O,NTC,ZPEC,B,Broadcast,40,C,SP-J9 To 0060056284,US-MI-49512,US-NY-13209,DRY NORTHEAST,D,D,May,train,0
71974830,N,B,0,100,Retail,O,NTC,ZPEC,B,Broadcast,40,C,SP-FE To 0010040400,US-IN-46809,US-PA-15205,DRY NORTHEAST,D,D,May,train,0
71974832,N,B,0,0,Food Service,O,NTC,BUXU,B,Broadcast,40,C,SP-FE To 0019837700,US-IN-46809,US-WI-53545,DRY NORTHEAST,D,D,May,train,0
71974964,Y,N,0,0,Retail,O,NTC,CHRE,N,Non-Primary,41,C,0016521400 To SP-ET,CA-ON-K1G 6,CA-ON-L6Y 5,CANADA,D,D,May,train,0
71974987,Y,N,0,0,Intercomp/Interplnt,O,NTC,MMQA,N,Non-Primary,40,V,SP-H7 To SP-ET,US-MO-63401,CA-ON-L6Y 5,DRY SOUTHEAST,D,D,May,train,0
71974988,Y,N,0,0,Intercomp/Interplnt,O,NTC,MMQA,N,Non-Primary,40,V,SP-H7 To SP-ET,US-MO-63401,CA-ON-L6Y 5,DRY SOUTHEAST,D,D,May,train,0
71975177,N,B,0,0,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-LL To SP-MJ,US-WI-53221,US-MO-64120,DRY MIDWEST,D,D,May,train,0
71975228,N,B,0,100,Intercomp/Interplnt,O,NTC,YFVO,B,Broadcast,40,V,SP-UQ To SP-DC,US-CA-95215,US-CA-92571,DRY WEST,D,D,May,train,0
71975304,N,B,0,0,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-JL To 0060032882,US-MO-64804,US-OH-43953,TEMP WEST,F,F,May,train,0
71975407,Y,N,0,0,Intercomp/Interplnt,O,NTC,VOMK,N,Non-Primary,40,V,SP-7157 To SP-ET,US-OH-44662,CA-ON-L6Y 5,DRY NORTHEAST,D,D,May,train,0
71975430,Y,N,0,0,Retail,O,NTC,UAFL,N,Non-Primary,41,C,0060072296 To SP-UQ,US-WA-98032,US-CA-95215,DRY WEST,D,D,May,train,0
71975440,Y,N,0,0,NULL,I,NTC,ZPEC,N,Non-Primary,40,V,V-00141560 To SP-HN,US-MS-39145,US-MO-63401,DRY SOUTHEAST,D,D,May,train,0
71975442,Y,N,0,0,NULL,I,NTC,ZPEC,N,Non-Primary,40,V,V-00141560 To SP-HN,US-MS-39145,US-MO-63401,DRY SOUTHEAST,D,D,May,train,0
71975457,Y,N,0,0,Retail,O,TC,VOMK,N,Non-Primary,40,C,SP-8R To 0060050134,CA-QC-J4B 1,CA-AB-T4A 0,CANADA,R,R,May,train,0
71975493,Y,N,0,0,Retail,O,TC,VOMK,N,Non-Primary,40,C,SP-8R To 0060050134,CA-QC-J4B 1,CA-AB-T4A 0,CANADA,R,R,May,train,0
71975535,N,B,0,100,Retail,O,NTC,JMAI,B,Broadcast,40,C,SP-ET To 0016538000,CA-ON-L6Y 5,CA-ON-L6T 5,CANADA,D,D,May,train,0
71975554,Y,N,0,0,Intercomp/Interplnt,O,NTC,BHHL,N,Non-Primary,40,I,SP-CA To SP-WS,US-IL-60446,US-OH-45692,DRY MIDWEST,D,D,May,train,0
71975555,Y,N,0,0,Retail,O,NTC,BHHL,N,Non-Primary,40,C,SP-WL To 0060034758,US-IL-60481,US-IN-47404,DRY MIDWEST,D,D,May,train,0
71975556,Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,I,SP-39 To SP-CW,US-MO-63401,US-GA-30014,DRY SOUTHEAST,D,D,May,train,0
71975557,Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-AV To SP-V1,US-IA-50047,US-MO-64050,DRY MIDWEST,D,D,May,train,0
71975558,Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-AV To SP-V1,US-IA-50047,US-MO-64050,DRY MIDWEST,D,D,May,train,0
71975559,Y,N,0,0,Firesale/Misc.,O,NTC,NEPH,N,Non-Primary,40,C,SP-R7 To 0060056284,US-IA-52404,US-NY-13209,DRY MIDWEST,D,D,May,train,0
71975560,Y,N,0,0,Retail,O,NTC,UVJX,N,Non-Primary,40,C,0060043824 To SP-P8,US-PA-18020,US-PA-17078,DRY NORTHEAST,D,D,May,train,0
71975562,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,I,SP-39 To SP-AL,US-MO-63401,US-NM-87113,DRY SOUTHEAST,D,D,May,train,0
71975563,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,I,SP-B6 To SP-CE,US-MO-64804,US-GA-30014,DRY SOUTHEAST,D,D,May,train,0
71975566,Y,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,V,SP-B8 To SP-SG,US-MN-55418,US-GA-30025,DRY MIDWEST,D,D,May,train,0
71975572,Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-SG To 0060039311,US-GA-30025,US-FL-32809,DRY SOUTHEAST,D,D,May,train,0
71975573,Y,N,0,0,Food Service,O,NTC,BHHL,N,Non-Primary,40,C,SP-AB To 0060057532,US-GA-30102,US-FL-33619,DRY SOUTHEAST,D,D,May,train,0
71975621,N,B,0,14,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-YN To SP-CA,US-ND-58203,US-IL-60446,DRY WEST,D,D,May,train,0
71975681,N,B,0,0,NULL,I,NTC,BUXU,B,Broadcast,40,V,V-00509104 To SP-H7,US-KY-41042,US-MO-63401,DRY SOUTHEAST,D,D,May,train,0
71975767,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,V,SP-CI To SP-X7,US-OH-45241,US-PA-17057,DRY NORTHEAST,D,D,May,train,0
71975769,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,V,SP-CI To SP-7202,US-OH-45241,US-MN-55418,DRY NORTHEAST,D,D,May,train,0
71975817,Y,N,0,0,Food Service,O,NTC,UVJX,N,Non-Primary,40,C,SP-S3 To 0060037136,US-NY-14218,US-PA-17055,DRY NORTHEAST,D,D,May,train,0
71975991,Y,N,0,0,Intercomp/Interplnt,O,TC,ZPEC,N,Non-Primary,40,I,SP-HY To SP-HN,US-OH-45858,US-MO-63401,TEMP EAST,R,R,May,train,0
71976011,N,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-SG To 0060036327,US-GA-30025,US-AL-36010,DRY SOUTHEAST,D,D,May,train,0
71976122,Y,N,0,0,Firesale/Misc.,O,NTC,URXX,N,Non-Primary,40,C,SP-R7 To 0060056284,US-IA-52404,US-NY-13209,DRY MIDWEST,D,D,May,train,0
71976123,Y,N,0,0,Firesale/Misc.,O,NTC,URXX,N,Non-Primary,40,C,SP-R7 To 0060056284,US-IA-52404,US-NY-13209,DRY MIDWEST,D,D,May,train,0
71976177,Y,N,0,0,Firesale/Misc.,O,NTC,SSAL,N,Non-Primary,40,C,SP-R7 To 0060056284,US-IA-52404,US-NY-13209,DRY MIDWEST,D,D,May,train,0
71976178,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,I,SP-B6 To SP-BU,US-MO-64804,US-NY-14203,DRY SOUTHEAST,D,D,May,train,0
71976180,Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-WW To 0060051770,US-IA-52404,US-MD-21770,DRY MIDWEST,D,D,May,train,0
71976181,Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-RO To 0011356500,US-TX-76262,US-LA-70810,DRY SOUTHEAST,D,D,May,train,0
71976182,Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-SG To 0060013851,US-GA-30025,US-VA-24592,DRY SOUTHEAST,D,D,May,train,0
71976183,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,I,SP-B6 To SP-BU,US-MO-64804,US-NY-14203,DRY SOUTHEAST,D,D,May,train,0
71976246,Y,N,0,0,Retail,O,TC,RTQT,N,Non-Primary,41,C,SP-AI To 0060045932,US-TX-78744,US-SC-29697,TEMP WEST,PH,R,May,train,0
71976247,Y,N,0,0,Retail,O,TC,RTQT,N,Non-Primary,41,C,SP-AI To 0060031740,US-TX-78744,US-OH-43551,TEMP WEST,PH,R,May,train,0
71976248,Y,N,0,0,Retail,O,TC,RTQT,N,Non-Primary,41,C,SP-AI To 0060025941,US-TX-78744,US-FL-33478,TEMP WEST,PH,R,May,train,0
71976291,N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-RW To SP-P9,US-MN-55044,US-PA-17078,DRY MIDWEST,D,D,May,train,0
71976295,N,B,0,0,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,I,SP-CC To SP-WL,US-IA-52233,US-IL-60481,DRY MIDWEST,D,D,May,train,0
71976303,N,B,0,0,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-Y4 To SP-AB,US-OH-44830,US-GA-30102,DRY NORTHEAST,D,D,May,train,0
71976330,Y,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,I,SP-WW To SP-X7,US-IA-52404,US-PA-17057,DRY MIDWEST,D,D,May,train,0
71976331,Y,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,V,SP-WW To SP-X7,US-IA-52404,US-PA-17057,DRY MIDWEST,D,D,May,train,0
71976332,Y,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,V,SP-WW To SP-X7,US-IA-52404,US-PA-17057,DRY MIDWEST,D,D,May,train,0
71976367,N,B,0,100,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-B8 To SP-DC,US-MN-55418,US-CA-92571,DRY MIDWEST,D,D,May,train,0
71976370,N,B,0,100,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-CI To SP-X7,US-OH-45241,US-PA-17057,DRY NORTHEAST,D,D,May,train,0
71976378,N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-B8 To SP-P8,US-MN-55418,US-PA-17078,DRY MIDWEST,D,D,May,train,0
71976379,N,B,0,100,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-B8 To SP-P9,US-MN-55418,US-PA-17078,DRY MIDWEST,D,D,May,train,0
71976444,N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-CF To SP-SG,US-IL-61006,US-GA-30025,DRY MIDWEST,D,D,May,train,0
71976460,N,B,0,0,Intercomp/Interplnt,O,NTC,VOMK,B,Broadcast,40,V,SP-B8 To SP-LI,US-MN-55418,CA-AB-T2C 5,DRY MIDWEST,D,D,May,train,0
71976468,N,B,0,100,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-B8 To SP-SG,US-MN-55418,US-GA-30025,DRY MIDWEST,D,D,May,train,0
71976520,N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-B8 To SP-DC,US-MN-55418,US-CA-92571,DRY MIDWEST,D,D,May,train,0
71976543,N,B,0,0,Firesale/Misc.,O,TC,BHHL,B,Broadcast,40,C,SP-K8 To 0060054986,US-TN-37127,US-WA-98424,TEMP EAST,R,R,May,train,0
71976658,N,B,0,0,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-WL To 0060017580,US-IL-60481,US-IA-52240,DRY MIDWEST,D,D,May,train,0
71976678,N,B,0,100,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-WL To 0060064269,US-IL-60481,US-WI-53177,DRY MIDWEST,D,D,May,train,0
71976686,N,B,0,100,Food Service,O,NTC,YFVO,B,Broadcast,40,C,SP-DC To 0010727400,US-CA-92571,US-CA-95776,DRY WEST,D,D,May,train,0
71976707,Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-RB To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,May,train,0
71976708,Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-RB To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,May,train,0
71976730,Y,N,0,0,Food Service,O,NTC,NUXY,N,Non-Primary,40,C,SP-FE To 0060064447,US-IN-46809,US-IL-60163,DRY NORTHEAST,D,D,May,train,0
71976748,Y,N,0,0,Intercomp/Interplnt,O,NTC,AENM,N,Non-Primary,40,V,SP-FE To SP-WL,US-IN-46809,US-IL-60481,DRY NORTHEAST,D,D,May,train,0
71976761,N,B,0,100,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-X8 To 0060024546,US-MO-64836,US-TX-75160,TEMP WEST,F,F,May,train,0
71976788,N,B,0,0,Intercomp/Interplnt,O,NTC,ZPEC,B,Broadcast,40,V,SP-FE To SP-P9,US-IN-46809,US-PA-17078,DRY NORTHEAST,D,D,May,train,0
71976823,N,N,0,0,Intercomp/Interplnt,O,NTC,SSAL,N,Non-Primary,40,V,SP-AL To SP-RB,US-NM-87113,US-MI-49512,DRY WEST,D,D,May,train,0
71976901,Y,N,0,0,Retail,O,TC,VOMK,N,Non-Primary,40,C,SP-8R To 0016522100,CA-QC-J4B 1,CA-AB-T5V 1,CANADA,R,R,May,train,0
71976906,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,I,SP-CA To SP-RB,US-IL-60446,US-MI-49512,DRY MIDWEST,D,D,May,train,0
71976907,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,I,SP-CA To SP-RB,US-IL-60446,US-MI-49512,DRY MIDWEST,D,D,May,train,0
71976908,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,V,SP-RB To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,May,train,0
71976909,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,V,SP-RB To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,May,train,0
71976911,N,N,0,0,Intercomp/Interplnt,O,NTC,NBNP,N,Non-Primary,40,V,SP-AL To SP-RB,US-NM-87113,US-MI-49512,DRY WEST,D,D,May,train,0
71976948,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,I,SP-CA To SP-RB,US-IL-60446,US-MI-49512,DRY MIDWEST,D,D,May,train,0
71977088,Y,N,0,0,Food Service,O,NTC,ZPEC,N,Non-Primary,40,C,SP-DC To 0060008400,US-CA-92571,US-CA-90058,DRY WEST,D,D,May,train,0
71977099,Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,V,SP-RB To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,May,train,0
71977241,N,B,0,0,Intercomp/Interplnt,O,NTC,FLSZ,B,Broadcast,40,V,SP-CE To SP-UQ,US-GA-30014,US-CA-95215,DRY SOUTHEAST,D,D,May,train,0
71977261,Y,N,0,0,Food Service,O,NTC,ZPEC,N,Non-Primary,40,C,SP-GS To 0060043944,US-MO-64056,US-OH-45414,DRY WEST,D,D,May,train,0
71977262,Y,N,0,0,Food Service,O,NTC,ZPEC,N,Non-Primary,40,C,SP-DC To 0010266100,US-CA-92571,US-WA-98499,DRY WEST,D,D,May,train,0
71977329,N,B,0,0,Intercomp/Interplnt,O,TC,EPUG,B,Broadcast,60,V,SP-CA To SP-P8,US-IL-60446,US-PA-17078,TEMP WEST,PH,R,May,train,0
71977593,N,B,0,49,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-DH To 0060020624,US-CA-90746,US-AZ-85353,TEMP WEST,R,R,May,train,0
71977721,N,B,0,100,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-TF To SP-P9,US-GA-31901,US-PA-17078,DRY SOUTHEAST,D,D,May,train,0
71977727,N,B,0,0,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-Y4 To SP-CM,US-OH-44830,US-MN-55317,DRY NORTHEAST,D,D,May,train,0
71977733,N,B,0,100,NULL,I,NTC,ZPEC,B,Broadcast,40,V,V-00509064 To SP-H7,US-IN-47905,US-MO-63401,DRY SOUTHEAST,D,D,May,train,0
71977747,N,B,0,0,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00509575 To SP-7070,US-IN-46158,US-MO-63401,DRY SOUTHEAST,D,D,May,train,0
71977758,N,B,0,0,Food Service,O,NTC,LRQU,B,Broadcast,40,C,SP-S3 To 0060024228,US-NY-14218,US-NC-27215,DRY NORTHEAST,D,D,May,train,0
71977765,N,B,0,0,Food Service,O,NTC,VQVH,B,Broadcast,40,C,SP-FE To 0020356500,US-IN-46809,US-IA-50021,DRY NORTHEAST,D,D,May,train,0
71977771,N,B,0,100,Food Service,O,NTC,BUXU,B,Broadcast,40,C,SP-AB To 0026421100,US-GA-30102,US-FL-33167,DRY SOUTHEAST,D,D,May,train,0
71977774,N,B,0,100,Food Service,O,NTC,VQVH,B,Broadcast,40,C,SP-AB To 0022162500,US-GA-30102,US-TN-37601,DRY SOUTHEAST,D,D,May,train,0
71977786,N,B,0,100,Retail,O,NTC,ZPEC,B,Broadcast,40,C,SP-SG To 0060013851,US-GA-30025,US-VA-24592,DRY SOUTHEAST,D,D,May,train,0
71977805,N,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-H7 To SP-GB,US-MO-63401,US-IL-61401,DRY SOUTHEAST,D,D,May,train,0
71977815,N,B,0,52,Retail,O,NTC,YFVO,B,Broadcast,40,C,SP-UQ To 0008846300,US-CA-95215,US-OR-97222,DRY WEST,D,D,May,train,0
71977838,N,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-H7 To SP-GB,US-MO-63401,US-IL-61401,DRY SOUTHEAST,D,D,May,train,0
71977841,N,B,0,0,Retail,O,NTC,BUXU,B,Broadcast,40,C,SP-H7 To 0060043385,US-MO-63401,US-UT-84104,DRY SOUTHEAST,D,D,May,train,0
71977847,N,B,0,0,Food Service,O,NTC,BUXU,B,Broadcast,40,C,SP-DC To 0048002756,US-CA-92571,US-WA-98144,DRY WEST,D,D,May,train,0
71977951,N,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-H7 To SP-WL,US-MO-63401,US-IL-60481,DRY SOUTHEAST,D,D,May,train,0
71977959,N,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-H7 To SP-GB,US-MO-63401,US-IL-61401,DRY SOUTHEAST,D,D,May,train,0
71977970,N,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-H7 To SP-WL,US-MO-63401,US-IL-60481,DRY SOUTHEAST,D,D,May,train,0
71978124,Y,N,0,0,Retail,O,NTC,UVJX,N,Non-Primary,40,C,SP-P9 To 0013195600,US-PA-17078,US-NY-10701,DRY NORTHEAST,D,D,May,train,0
71978149,N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,I,SP-MM To SP-CW,US-IL-60538,US-GA-30014,DRY MIDWEST,D,D,May,train,0
71978152,N,B,0,0,Intercomp/Interplnt,O,NTC,ZPEC,B,Broadcast,40,V,SP-BU To SP-RB,US-NY-14203,US-MI-49512,DRY NORTHEAST,D,D,May,train,0
71978185,N,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-H7 To SP-MY,US-MO-63401,US-IL-60538,DRY SOUTHEAST,D,D,May,train,0
71978229,Y,N,0,0,Retail,O,TC,RTQT,N,Non-Primary,41,C,SP-AI To 0012683900,US-TX-78744,US-IL-62864,TEMP WEST,PH,R,May,train,0
71978230,Y,N,0,0,Retail,O,TC,RTQT,N,Non-Primary,41,C,SP-AI To 0016998629,US-TX-78744,US-WI-53598,TEMP WEST,PH,R,May,train,0
